Country Name,Country Code,Region,Sub-Region,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Antigua and Barbuda,ATG,Americas,Caribbean,GDP (current US$),NY.GDP.MKTP.CD,1143896296,1303674074,1487381481,1557640741,1386518519,1298348148,1287359259,1364729630,1325496296,1378707407,1437485185,1489603704,1534855556,1661529630,1726448148,1411637037,1602125926,1866566667,2005785185,2224814815
Argentina,ARG,Americas,South America,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,28081718502,32022297113,46149456856,46385380207,48006988635,52207549724,46265800526,43223270864,30533919651,31410813270,25520565580,38414518492,55314409205,66221501691,44880566052,39403734630,39653498611,44795335172,23080560550,29559610351
Argentina,ARG,Americas,South America,Total reserves minus gold (current US$),FI.RES.XGLD.CD,27178838502,30903465113,44682056856,44854620207,46092988635,49733869724,43226830958,39920301983,28143038631,29016954814,23416510885,36323299977,53030809532,63963922085,42192526747,35649970286,36448369072,41197886699,18986771972,24380645449
Argentina,ARG,Americas,South America,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.44181199,5.269879674,-1.611001621,-1.719105147
Argentina,ARG,Americas,South America,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11099.75092,11870.27916,12811.90212,13197.35703,12285.37847,13387.15537,14040.61891,13754.42542,13946.09508,13456.13192,13679.6265,13265.88606,13520.11298,13058.32854,12706.39781,11393.0506,12549.28117,13182.7934,12933.24973,12667.03137
Argentina,ARG,Americas,South America,GDP (constant 2015 US$),NY.GDP.MKTP.KD,4.35297E+11,4.70326E+11,5.12691E+11,5.33492E+11,5.01917E+11,5.52738E+11,5.85924E+11,5.7991E+11,5.93859E+11,5.78938E+11,5.94749E+11,5.82377E+11,5.98791E+11,5.83118E+11,5.71451E+11,5.14874E+11,5.68637E+11,5.98603E+11,5.8896E+11,5.78835E+11
Argentina,ARG,Americas,South America,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,2.653631422,2.794495643,2.103616039,1.499401416,2.178566962,-0.3831187,-1.007280841,-0.391595124,-2.377495666,-1.74400212,-2.962926665,-2.709221684,-4.839959218,-5.160552572,-0.779998448,0.696935361,1.361544222,-0.626443919,-3.211893773,0.900309384
Argentina,ARG,Americas,South America,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.7,97,97.2,97.5,97.8,98.8,99,99.1,99.3,100,99.7,99.9,100,100,100,100,100,100,100,..
Argentina,ARG,Americas,South America,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,5.940482497,5.619909336,4.380330004,3.719127386,5.064843207,2.896633547,1.692263291,1.949176552,-0.099582225,0.404163534,-1.074921988,-1.039697511,-2.649034418,-1.889164455,3.21914171,3.007130067,3.054728771,0.948320883,-1.142020568,2.509066043
Argentina,ARG,Americas,South America,GDP per capita (current US$),NY.GDP.PCAP.CD,5067.653423,5869.38029,7185.251551,8944.110266,8150.23527,10260.13131,12704.28318,12949.71749,12963.67577,12233.14441,13679.6265,12699.96231,14532.50093,11752.79989,9955.974787,8535.59938,10738.01792,13935.68111,14187.48273,13858.20398
Argentina,ARG,Americas,South America,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.738981076,6.941851601,7.932610113,3.008568926,-6.910312115,8.968196729,4.881272528,-2.038325309,1.393512661,-3.51326421,1.660912538,-3.024500956,1.916396081,-3.415536839,-2.695067235,-10.33610969,10.14855999,5.048195323,-1.892949797,-2.058402754
Argentina,ARG,Americas,South America,GDP (current US$),NY.GDP.MKTP.CD,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30158E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.85741E+11,4.86564E+11,6.3279E+11,6.46075E+11,6.33267E+11
Armenia,ARM,Asia,Western Asia,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,669480407.7,1071917964,1659090453,1406800823,2003623408,1865824297,1932471999,1799374399,2251610255,1489443371,1775293494,2204113991,2314113951,2259321869,2849645182,2615530571,3229848045,4111690218,3607482711,3685220143
Armenia,ARM,Asia,Western Asia,Total reserves minus gold (current US$),FI.RES.XGLD.CD,669480407.7,1071917964,1659090453,1406800823,2003623408,1865824297,1932471999,1799374399,2251610255,1489443371,1775293494,2204113991,2314113951,2259321869,2849645182,2615530571,3229848045,4111690218,3607482711,3685220143
Armenia,ARM,Asia,Western Asia,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.199999999,5.800000001,12.6,8.3,5.9
